,object,viewpoint,instance,morphline,path
0,chair,30,0,chairBench,baseline_sketches/chair_30_0_chairBench.png
1,chair,30,1,chairBench,baseline_sketches/chair_30_1_chairBench.png
2,chair,30,2,chairBench,baseline_sketches/chair_30_2_chairBench.png
3,chair,30,3,chairBench,baseline_sketches/chair_30_3_chairBench.png
4,chair,30,4,chairBench,baseline_sketches/chair_30_4_chairBench.png
5,chair,15,0,chairBench,baseline_sketches/chair_15_0_chairBench.png
6,chair,15,1,chairBench,baseline_sketches/chair_15_1_chairBench.png
7,chair,15,2,chairBench,baseline_sketches/chair_15_2_chairBench.png
8,chair,15,3,chairBench,baseline_sketches/chair_15_3_chairBench.png
9,chair,15,4,chairBench,baseline_sketches/chair_15_4_chairBench.png
10,chair,15,5,chairBench,baseline_sketches/chair_15_5_chairBench.png
11,chair,15,6,chairBench,baseline_sketches/chair_15_6_chairBench.png
12,chair,15,7,chairBench,baseline_sketches/chair_15_7_chairBench.png
13,chair,15,8,chairBench,baseline_sketches/chair_15_8_chairBench.png
14,chair,15,9,chairBench,baseline_sketches/chair_15_9_chairBench.png
15,chair,15,10,chairBench,baseline_sketches/chair_15_10_chairBench.png
16,chair,15,11,chairBench,baseline_sketches/chair_15_11_chairBench.png
17,chair,15,12,chairBench,baseline_sketches/chair_15_12_chairBench.png
18,chair,15,13,chairBench,baseline_sketches/chair_15_13_chairBench.png
19,chair,15,14,chairBench,baseline_sketches/chair_15_14_chairBench.png
20,chair,15,15,chairBench,baseline_sketches/chair_15_15_chairBench.png
21,chair,15,16,chairBench,baseline_sketches/chair_15_16_chairBench.png
22,chair,15,17,chairBench,baseline_sketches/chair_15_17_chairBench.png
23,chair,15,18,chairBench,baseline_sketches/chair_15_18_chairBench.png
24,chair,15,19,chairBench,baseline_sketches/chair_15_19_chairBench.png
25,chair,15,20,chairBench,baseline_sketches/chair_15_20_chairBench.png
26,chair,15,21,chairBench,baseline_sketches/chair_15_21_chairBench.png
27,chair,15,22,chairBench,baseline_sketches/chair_15_22_chairBench.png
28,chair,15,23,chairBench,baseline_sketches/chair_15_23_chairBench.png
29,chair,15,24,chairBench,baseline_sketches/chair_15_24_chairBench.png
30,chair,25,0,chairBench,baseline_sketches/chair_25_0_chairBench.png
31,chair,25,1,chairBench,baseline_sketches/chair_25_1_chairBench.png
32,chair,25,2,chairBench,baseline_sketches/chair_25_2_chairBench.png
33,chair,25,3,chairBench,baseline_sketches/chair_25_3_chairBench.png
34,chair,25,4,chairBench,baseline_sketches/chair_25_4_chairBench.png
35,chair,25,5,chairBench,baseline_sketches/chair_25_5_chairBench.png
36,chair,25,6,chairBench,baseline_sketches/chair_25_6_chairBench.png
37,chair,25,7,chairBench,baseline_sketches/chair_25_7_chairBench.png
38,chair,25,8,chairBench,baseline_sketches/chair_25_8_chairBench.png
39,chair,25,9,chairBench,baseline_sketches/chair_25_9_chairBench.png
40,chair,25,10,chairBench,baseline_sketches/chair_25_10_chairBench.png
41,chair,25,11,chairBench,baseline_sketches/chair_25_11_chairBench.png
42,chair,25,12,chairBench,baseline_sketches/chair_25_12_chairBench.png
43,chair,25,13,chairBench,baseline_sketches/chair_25_13_chairBench.png
44,chair,25,14,chairBench,baseline_sketches/chair_25_14_chairBench.png
45,chair,25,15,chairBench,baseline_sketches/chair_25_15_chairBench.png
46,chair,25,16,chairBench,baseline_sketches/chair_25_16_chairBench.png
47,chair,25,17,chairBench,baseline_sketches/chair_25_17_chairBench.png
48,chair,25,18,chairBench,baseline_sketches/chair_25_18_chairBench.png
49,chair,25,19,chairBench,baseline_sketches/chair_25_19_chairBench.png
50,chair,25,20,chairBench,baseline_sketches/chair_25_20_chairBench.png
51,chair,25,21,chairBench,baseline_sketches/chair_25_21_chairBench.png
52,chair,25,22,chairBench,baseline_sketches/chair_25_22_chairBench.png
53,chair,25,23,chairBench,baseline_sketches/chair_25_23_chairBench.png
54,chair,25,24,chairBench,baseline_sketches/chair_25_24_chairBench.png
55,chair,25,25,chairBench,baseline_sketches/chair_25_25_chairBench.png
56,chair,25,26,chairBench,baseline_sketches/chair_25_26_chairBench.png
